"",14772
Fairmont Ginkgo,41
Giant Yucca,41
American Autumn Purple Ash,40
Oleander,39
Coral reef araucaria,39
Prospector Elm,39
Catalina Cherry,38
Princeton Sentry Maidenhair,37
English laurel,37
Port Jackson Fig,36
Carolina Cherry Laurel,34
Firethorn Tree 'Santa Cruz',34
Big Leaf Maple,33
Beefwood: Drooping She-Oak,33
Little-Leaf Azara,31
Bloodgood Japanese Maple,31
Lemon Scented Gum,30
Poplar Spp,30
Common Hackberry,30
Spruce Spp,30
Private Shrub,29
Black Locust,29
Willow,28
Majestic Beauty Magnolia,28
River Wattle,27
Morton Bay Fig,27
Douglas Fir,27
Manna Gum,26
Allepo Pine,26
Apricot,25
Oak,25
Maple,25
Forest Pansy Redbud,24
Daybreak Yoshino Cherry,24
Red Oak,24
Holly-leaved Cherry,23
European Hackberry,23
Bamboo Species,23
Swamp mahogany,23
Italian Alder,23
Silver Mountain Gum Tree,22
Majestic Beauty Fruitless Olive,22
King Palm,22
Chilean Soapbark,22
Flannel Bush Tree,22
Bishop Pine,21
European Beech,21
Moraine Ash,20
Purple-leaf Acacia,20
Soft Tree Fern,20
Hybrid Laurel,20
Tupelo: Sour Gum,19
Cabbage tree,19
Scarlet Oak,19
River Birch,19
Valley Oak,19
Long-Leafed Yellow-Wood,19
Weeping Cherry,19
Ornamental Pear Tree 'Redspire',18
Bloodgood London Plane,18
California Bay,18
Weeping Willow,17
Indian Bay,17
Chinese scholar tree,17
Corkscrew Willow,17
African Sumac,17
Monkey puzzle,17
Cyclops wattle,16
Smoke tree,16
Flooded Box: Coolibah,15
Dawn Redwood,15
Quaking aspen,15
Improved Meyer Lemon,14
Bottle Tree,14
White Horsechestnut,14
Almond,14
Ruby Horse Chestnut,14
Weeping Chinese Elm,14
Arroyo willow,14
Palo Alto Sweet Gum,13
Yellow Box,13
Upright European Hornbeam,13
Kentia Palm,13
Frontier Elm 'Frontier',13
Plume Albizia Tree,13
Potential Site,12
Swamp Gum: Flooded Gum,12
Arizona Ash,12
Gold Medallion Tree,12
Basswood Linden,12
Western Red Cedar,12
D.D. Blanchard Southern Magnolia,12
Ginkgo: Saratoga,12
Arizona Cypress,12
Walnut: English,12
Sierra Redwood,11
Guava tree,11
'Akebono' Cherry,11
Silk Oak Tree 'Red Hooks',11
Japanese Cryptomeria,11
Red October Glory Maple,11
Ash-colored Eucalyptus,11
Puriri tree,11
Cabada palm,11
Yucca,11
Honey Locust 'Shademaster',10
Tree aloe,10
Flowering Ash,10
Flowering Cherry Tree 'Amanagawa',10
Banana,10
Autumn Sentinel Ginkgo,10
Seedless Lime,10
Royal Burgundy Flowering Cherry Tree,9
Australian Flame Tree,9
White-Flowered Crabapple,9
Silkoak species,9
Eastern black walnut,9
Blue Atlas Cedar,9
Pin Oak,9
Sea Urchin Tree,9
Purple-Leaf Plum 'Thundercloud',8
Pigmy Date Palm,8
Hungarian Oak,8
Mexican Blue Palm,8
Regent Scholar Tree,8
Dogwood,8
Mt. Fuji Cherry Tree,8
Flowering Cherry,8
Olive,8
Tree Of Heaven,8
Eastern Dogwood,8
False Avocado,8
Ornamental Pear Tree 'Cleveland',7
Pot Belly Fig,7
Montezuma Cypress,7
California privet,7
Pomegranate Tree 'Wonderful',7
White Champaca,7
Lilac Tree,7
Ornamental Pear Tree 'Capital',7
Sunburst Honey Locust,7
Chinese Tallow,6
Queensland Pittosporum,6
English Oak,6
Walnut: Black (s.calif),6
Coast Banksia,6
Pindo Palm,6
Lemon Scented Tea Tree,6
Japanese Pagoda,6
Date palm (species unknown),6
Umbrella tree,6
Thunderhead Pine,6
Narrow-leaved Ash,6
Sweet viburnum,6
Chilean Wine Palm,6
Pussy Willow,6
Myola palm,6
Monkey Hand Tree,6
Box Elder,5
White oak,5
Holotricha Ash,5
Griselinia,5
Palm,5
Redmond Linden,5
Walnut: Black (n.calif),5
Flowering maple,5
Sidney Blue Gum,5
White Poplar,5
Kumquat,5
Black Cottonwood Poplar,5
Eddie's White Wonder Dogwood,5
Interior Live Oak,5
Persimmon,5
Vine Maple,5
Sycamore Maple,5
Pineapple Guava Tree,5
Chinese Fringe Tree,5
Coulter pine,4
Blue Oak,4
Himalayan Fishtail Palm,4
Coffeeberry Tree,4
China Doll Tree,4
Red Maple Tree 'Autumn Glory',4
Camden Wollybutt,4
Yellow conebush,4
Silver Wattle,4
Prairie Fire Crabapple Tree,4
Port Orford Cedar,4
Chinaberry,4
Canadian Poplar,4
Paul's Scarlet Hawthorn,4
White escallonia,4
Blue Elderberry,4
Dr. Hurd Manzanita,4
Hinoki cypress,4
Apple,4
Engelmann oak,4
Autumn Blaze Freeman Maple,4
Purple bottlebrush,4
Trumpet bush,4
Portugese Cherry Laurel,4
Island oak,3
Woollybutt,3
Jack Fogg Michelia,3
Southern red cedar,3
James Roof Coast Silktassel Tree,3
Hairy wattle,3
Senegal date palm,3
Apple Tree 'Gala',3
Silk Floss Tree,3
California Black Oak,3
California juniper,3
Dwarf strawberry tree,3
O'Neill Red Horse Chestnut,3
Santa Rosa Plum,3
American Holly,3
Evie Coast Silktassel Tree,3
Red mulbeerry,3
Birchbark Cherry,3
Robusta Magnolia,3
Festival Sweet Gum,3
Jujube,3
John Edwards Buckthorn,3
Modesto Ash,3
Ponytail palm,3
Chinese Elm 'Athena',3
New Zealand Laurel,3
Dragon tree,3
Tea Tree,3
English Elm,2
Chinese Magnolia,2
Chilean pepper tree,2
Simmond's Peppermint,2
White ironwood,2
Tomlinson Ash,2
Willow wattle,2
Asian Pear '20th Century',2
Pacific Madrone,2
Sago palm,2
Tan Oak,2
American sycamore,2
Coral Gum,2
Narrow-leaf bottle tree,2
Hazel: Turkish,2
Tuscarora Crape Myrtle,2
Burgundy Sweet Gum,2
Silvercloud Magnolia,2
Brush holly,2
Idaho Pink Locust,2
Peppermint Box,2
Shore Pine,2
Weeping Double Pink Flowering Cherry,2
Blue hesper palm,2
Linden,2
Elderberry,2
Silver Tree,2
Empress Tree,2
Japanese Snowdrop Tree,2
Honey Locust 'Aurea',2
Coral Bark Maple,2
Frontier Elm,2
Natchez Crape Myrtle,2
Angophora species,2
Lisbon Lemon Tree,2
Chinese Sweet Gum,2
Paradox Walnut Tree 'Paradox',2
Puka or puke tree,2
Eastern Plane Tree,2
Cider Gum,2
Lemon scented eucalyptus,1
Brown Turkey Fig,1
Argentine cedar,1
Triangle palm,1
Timeless Beauty Southern Magnolia,1
Sugar Maple,1
Lily-of-the-Valley Tree,1
Juniper Tree 'Pathfinder',1
Katsura tree,1
Pecan,1
Coral tree,1
San Jose hesper palm,1
Red Obelisk Beech,1
Flowering Nectarine Tree,1
Bald Cypress,1
Sargent Cherry Tree 'Columnaris',1
American Chestnut,1
Staghorn sumac,1
Taiwan Flowering Cherry,1
White flowering bottlebrush,1
Pacific Wax Myrtle Tree,1
Mountain mahogany,1
Hedge Maple,1
California nutmeg,1
Crape myrtle species,1
Evergreen Maple,1
Upright Liquidambar,1
Stewart Avocado,1
Norway Maple,1
Eastern cottonwood,1
Nikau palm,1
Drumstick tree,1
Scotch Elm,1
Chinese fan palm,1
Green Gage Plum,1
Foxtail palm,1
Manchurian snakebark maple,1
Blueblossom Ceanothus,1
Candelabra tree,1
Cliff date palm,1
European Mountain Ash Tr,1
Weeping Tea Tree,1
Kaffir lime,1
Hybrid Monkey Hand Tree,1
Black Mission Fig,1
Firewheel tree,1
Norway maple,1
Lebanon cedar,1
Torrey Pine,1
Mango,1
Asian Pear 'Sainseiki',1
True Green Chinese Elm,1
Scots Pine,1
Amur Maple,1
Maritime Pine,1
Hybrid Maple,1
Northern Catalpa,1
Horsechestnut,1
Macadamia,1
Five finger,1
New Zealand White Tea Tree,1
Eastern white pine,1
Sargent Cherry,1
Geijera,1
Modesto Ash Tree 'Modesto',1
